"X1","Hasil_GeoHash","LATITUDE","LONGITUDE","Lat_Error","Long_Error","MAG","KEDALAMAN","CITY"
1,"qyu3et",-6.73736572265625,129.885864257812,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.73736572265625&longitude=129.885864257812&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
2,"qyu3et",-6.73736572265625,129.885864257812,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.73736572265625&longitude=129.885864257812&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
3,"qyu3et",-6.73736572265625,129.885864257812,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.73736572265625&longitude=129.885864257812&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
4,"w0kfmj",1.83197021484375,96.9049072265625,0.00274658203125,0.0054931640625,4.1,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.83197021484375&longitude=96.9049072265625&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
5,"qw0zyw",-9.85198974609375,113.845825195312,0.00274658203125,0.0054931640625,3.8,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.85198974609375&longitude=113.845825195312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
6,"wb3gn4",1.94732666015625,126.480102539062,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.94732666015625&longitude=126.480102539062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
7,"qzxrre",-1.51885986328125,134.280395507812,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-1.51885986328125&longitude=134.280395507812&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
8,"w0d4fh",3.32061767578125,92.9058837890625,0.00274658203125,0.0054931640625,4.1,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=3.32061767578125&longitude=92.9058837890625&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
9,"w0d4fh",3.32061767578125,92.9058837890625,0.00274658203125,0.0054931640625,4.1,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=3.32061767578125&longitude=92.9058837890625&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
10,"wb3gn4",1.94732666015625,126.480102539062,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.94732666015625&longitude=126.480102539062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
11,"w0kfmj",1.83197021484375,96.9049072265625,0.00274658203125,0.0054931640625,4.1,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.83197021484375&longitude=96.9049072265625&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
12,"wb000v",0.03021240234375,123.788452148438,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=0.03021240234375&longitude=123.788452148438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
13,"wb4eq9",0.57952880859375,127.556762695312,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=0.57952880859375&longitude=127.556762695312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
14,"qyu3et",-6.73736572265625,129.885864257812,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.73736572265625&longitude=129.885864257812&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
15,"qy0rsz",-9.89044189453125,124.315795898438,0.00274658203125,0.0054931640625,3.8,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.89044189453125&longitude=124.315795898438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
16,"qy0rsz",-9.89044189453125,124.315795898438,0.00274658203125,0.0054931640625,3.8,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.89044189453125&longitude=124.315795898438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
17,"qw259v",-9.19830322265625,112.582397460938,0.00274658203125,0.0054931640625,3.8,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.19830322265625&longitude=112.582397460938&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
18,"wb6nj7",2.48016357421875,126.798706054688,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=2.48016357421875&longitude=126.798706054688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
19,"wb3gn4",1.94732666015625,126.480102539062,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.94732666015625&longitude=126.480102539062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
20,"wb638c",1.67816162109375,126.952514648438,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.67816162109375&longitude=126.952514648438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
21,"qy0rsz",-9.89044189453125,124.315795898438,0.00274658203125,0.0054931640625,3.8,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.89044189453125&longitude=124.315795898438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
22,"qy0rsz",-9.89044189453125,124.315795898438,0.00274658203125,0.0054931640625,3.8,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.89044189453125&longitude=124.315795898438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
23,"qyu3et",-6.73736572265625,129.885864257812,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.73736572265625&longitude=129.885864257812&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
24,"qw0zyw",-9.85198974609375,113.845825195312,0.00274658203125,0.0054931640625,3.8,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.85198974609375&longitude=113.845825195312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
25,"qqs9x6",-8.16009521484375,107.902221679688,0.00274658203125,0.0054931640625,4.4,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-8.16009521484375&longitude=107.902221679688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
26,"qqs9x6",-8.16009521484375,107.902221679688,0.00274658203125,0.0054931640625,4.4,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-8.16009521484375&longitude=107.902221679688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
27,"w0kfmj",1.83197021484375,96.9049072265625,0.00274658203125,0.0054931640625,4.1,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.83197021484375&longitude=96.9049072265625&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
28,"wb4eq9",0.57952880859375,127.556762695312,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=0.57952880859375&longitude=127.556762695312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
29,"wb3gn4",1.94732666015625,126.480102539062,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.94732666015625&longitude=126.480102539062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
30,"wb1s4w",0.73883056640625,125.974731445312,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=0.73883056640625&longitude=125.974731445312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
31,"qw0zyw",-9.85198974609375,113.845825195312,0.00274658203125,0.0054931640625,3.8,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.85198974609375&longitude=113.845825195312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
32,"qygs9z",-6.19903564453125,128.754272460938,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.19903564453125&longitude=128.754272460938&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
33,"qw3yfu",-8.63250732421875,115.087280273438,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-8.63250732421875&longitude=115.087280273438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
34,"wb6nj7",2.48016357421875,126.798706054688,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=2.48016357421875&longitude=126.798706054688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
35,"qygqwp",-5.84747314453125,128.589477539062,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-5.84747314453125&longitude=128.589477539062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
36,"qyu3et",-6.73736572265625,129.885864257812,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.73736572265625&longitude=129.885864257812&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
37,"qy0rsz",-9.89044189453125,124.315795898438,0.00274658203125,0.0054931640625,3.8,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.89044189453125&longitude=124.315795898438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
38,"qw0zyw",-9.85198974609375,113.845825195312,0.00274658203125,0.0054931640625,3.8,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.85198974609375&longitude=113.845825195312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
39,"wb1s4w",0.73883056640625,125.974731445312,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=0.73883056640625&longitude=125.974731445312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
40,"wb3gn4",1.94732666015625,126.480102539062,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.94732666015625&longitude=126.480102539062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
41,"qy0rsz",-9.89044189453125,124.315795898438,0.00274658203125,0.0054931640625,3.8,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.89044189453125&longitude=124.315795898438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
42,"w0kfmj",1.83197021484375,96.9049072265625,0.00274658203125,0.0054931640625,4.1,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.83197021484375&longitude=96.9049072265625&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
43,"w0kfmj",1.83197021484375,96.9049072265625,0.00274658203125,0.0054931640625,4.1,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.83197021484375&longitude=96.9049072265625&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
44,"wb1s4w",0.73883056640625,125.974731445312,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=0.73883056640625&longitude=125.974731445312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
45,"qyu3et",-6.73736572265625,129.885864257812,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.73736572265625&longitude=129.885864257812&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
46,"qybvrm",-6.07818603515625,125.128784179688,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-6.07818603515625&longitude=125.128784179688&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
47,"qygqwp",-5.84747314453125,128.589477539062,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-5.84747314453125&longitude=128.589477539062&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
48,"w0kfmj",1.83197021484375,96.9049072265625,0.00274658203125,0.0054931640625,4.1,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.83197021484375&longitude=96.9049072265625&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
49,"qwrfqe",-9.42901611328125,123.689575195312,0.00274658203125,0.0054931640625,4.3,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-9.42901611328125&longitude=123.689575195312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
50,"wb638c",1.67816162109375,126.952514648438,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=1.67816162109375&longitude=126.952514648438&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
51,"qz6wh8",-3.16131591796875,127.468872070312,0.00274658203125,0.0054931640625,4.2,10,"https://api.bigdatacloud.net/data/reverse-geocode?latitude=-3.16131591796875&longitude=127.468872070312&localityLanguage=en&key=d853aadb6fe04084938dd4b64d5c0e2a"
