"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"1988-09-10","04:04:50",-6.08,130.68,33,4.1
"1988-09-10","04:04:50",-6.1,130.7,33,4.1
"1988-09-10","05:03:19",-7.31,128.66,33,4.1
"1988-09-10","05:03:21",-7.65,129.05,33,4.1
"1988-09-10","09:05:43",-1.07,97.17,33,3.6
"1988-09-10","15:46:51",-8.19,126.91,209,4.6
"1988-09-10","16:52:46",-6.62,130.48,33,4
"1988-09-10","16:52:46",-6.64,130.51,33,4
"1988-09-10","17:29:40",-7.39,127.96,118,3.9
"1988-09-10","17:29:41",-7.45,128.06,118,3.9
