"TANGGAL","WAKTU.UTC.","LATITUDE","LONGITUDE","KEDALAMAN","MAG"
"2012-03-02","00:03:37",-0.29,133.18,32,3.6
"2012-03-02","00:32:44",-1.26,127.77,13,2.8
"2012-03-02","02:28:11",-2.76,129.59,150,3.3
"2012-03-02","02:39:47",-0.46,132.88,32,4.3
"2012-03-02","02:39:48",-0.6,132.72,10,4.4
"2012-03-02","02:54:13",-1.07,127.37,15,2.8
"2012-03-02","03:47:18",-9.62,113.99,24,3.9
"2012-03-02","03:47:20",-9.51,114.03,22,4.4
"2012-03-02","03:48:52",-6.87,128.74,200,3.5
"2012-03-02","03:53:15",0.24,122.07,161,3.4
"2012-03-02","10:06:32",-4.21,126.81,33,3.5
"2012-03-02","10:06:33",-4.12,126.85,23,3.8
"2012-03-02","11:08:00",-9.52,117.54,28,3.2
"2012-03-02","11:25:59",0.84,99.67,10,2.7
"2012-03-02","11:25:59",0.84,99.67,10,2.8
"2012-03-02","13:02:22",-0.55,126.83,47,3.2
"2012-03-02","14:19:53",0.07,130.2,56,3.4
"2012-03-02","15:08:53",-9.58,116.24,28,3.5
"2012-03-02","15:38:06",-8.56,107.11,10,3.4
"2012-03-02","16:00:27",0.14,123.63,142,4.7
"2012-03-02","16:00:28",0.09,123.69,147,4.7
"2012-03-02","16:00:28",0.19,123.74,144,4.9
"2012-03-02","16:00:29",0.17,123.78,140,4.8
"2012-03-02","16:00:30",0,123.78,104,4.9
"2012-03-02","16:49:27",-4.34,133.08,11,3.4
"2012-03-02","17:19:38",-2.89,139.46,36,4.4
"2012-03-02","17:19:40",-2.98,139.44,46,4.4
"2012-03-02","17:19:40",-2.98,139.44,46,4.6
"2012-03-02","17:52:29",1.86,127.08,61,5.1
"2012-03-02","17:52:30",2.04,127.1,32,4.3
"2012-03-02","17:52:30",1.89,127.1,63,5
"2012-03-02","17:52:30",1.89,127.1,63,4.8
"2012-03-02","17:52:31",1.81,127.08,86,5
"2012-03-02","18:41:55",-2.98,128.66,15,2.4
"2012-03-02","18:46:26",-6.78,130.02,146,5
"2012-03-02","18:46:26",-6.78,130.02,146,3
"2012-03-02","18:46:30",-6.41,130.04,12,4.2
"2012-03-02","19:05:14",-1.05,127.27,19,3.3
"2012-03-02","19:05:14",-1.05,127.27,19,3.1
