"#","Waktu Gempa","Lintang","Bujur","Magnitudo","Kedalaman","Wilayah"
1,"08-Apr-20 10:32:03 WIB",-1.4,119.93,5.1,"10 Km","5 km Tenggara SIGI-SULTENG"
2,"07-Apr-20 15:02:59 WIB",-9.48,112.32,5.2,"10 Km","150 km Tenggara KAB-BLITAR-JATIM"
3,"06-Apr-20 05:42:51 WIB",-5.26,102.4,5,"10 Km","17 km TimurLaut ENGGANO-BENGKULU"
4,"06-Apr-20 01:37:10 WIB",1.52,126.46,6.1,"10 Km","122 km BaratLaut JAILOLO-MALUT"
5,"02-Apr-20 09:13:13 WIB",-7.93,125.62,5.5,"10 Km","125 km TimurLaut ALOR-NTT"
6,"29-Mar-20 06:10:35 WIB",-7.39,124.19,5.2,"631 Km","108 km BaratLaut ALOR-NTT"
7,"28-Mar-20 22:43:17 WIB",-1.72,120.14,5.8,"10 Km","46 km Tenggara SIGI-SULTENG"
8,"27-Mar-20 21:32:48 WIB",0.28,133.53,5.5,"10 Km","139 km BaratLaut MANOKWARI-PAPUABRT"
9,"27-Mar-20 04:36:40 WIB",-2.72,139.26,5.9,"11 Km","72 km BaratLaut KAB-JAYAPURA-PAPUA"
10,"26-Mar-20 22:38:03 WIB",5.58,125.16,6.3,"10 Km","221 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT"
11,"26-Mar-20 13:49:17 WIB",-2.73,139.24,5.2,"10 Km","74 km BaratLaut KAB-JAYAPURA-PAPUA"
12,"25-Mar-20 09:20:06 WIB",2.96,128.12,5.3,"97 Km","103 km BaratLaut DARUBA-MALUT"
13,"23-Mar-20 18:04:34 WIB",-6.12,130.83,5.1,"99 Km","212 km BaratLaut MALUKUTENGGARABRT"
14,"22-Mar-20 13:48:46 WIB",-10.96,115.16,5.2,"10 Km","240 km BaratDaya KUTASELATAN-BALI"
15,"22-Mar-20 12:51:47 WIB",-2.88,135.63,5.2,"15 Km","71 km BaratLaut NABIRE-PAPUA"
16,"22-Mar-20 10:34:55 WIB",1.46,122,5.1,"10 Km","92 km TimurLaut BUOL-SULTENG"
17,"22-Mar-20 04:19:40 WIB",-5.34,141.41,5.2,"91 Km","126 km TimurLaut BOVENDIGOEL-PAPUA"
18,"19-Mar-20 00:45:37 WIB",-11.25,115.09,6.6,"10 Km","273 km BaratDaya KUTASELATAN-BALI"
19,"18-Mar-20 10:13:30 WIB",3.03,127.91,5.5,"76 Km","117 km BaratLaut DARUBA-MALUT"
20,"16-Mar-20 17:59:11 WIB",-1.16,126.47,5,"10 Km","109 km TimurLaut SANANA-MALUT"
21,"16-Mar-20 04:05:32 WIB",-10.72,118.28,5.4,"10 Km","147 km BaratDaya KODI-SUMBABARATDAYA-NTT"
22,"14-Mar-20 17:42:37 WIB",2.92,128.14,5.2,"10 Km","98 km BaratLaut DARUBA-MALUT"
23,"13-Mar-20 05:17:00 WIB",-3.01,138.98,5,"24 Km","76 km TimurLaut TOLIKARA-PAPUA"
24,"12-Mar-20 15:03:17 WIB",-8.99,110.6,5,"15 Km","106 km BaratDaya PACITAN-JATIM"
25,"11-Mar-20 06:08:34 WIB",3.72,97.09,5.3,"114 Km","19 km Tenggara BLANGPIDIE-ACEHBARATDAYA"
26,"10-Mar-20 21:06:28 WIB",-5.89,102.85,5.8,"48 Km","88 km Tenggara ENGGANO-BENGKULU"
27,"10-Mar-20 17:18:05 WIB",-6.89,106.62,5,"10 Km","13 km TimurLaut KAB-SUKABUMI-JABAR"
28,"07-Mar-20 18:35:26 WIB",-7.49,128.76,5.2,"154 Km","130 km TimurLaut MALUKUBRTDAYA"
29,"07-Mar-20 11:37:51 WIB",-4.16,139.55,5.2,"10 Km","37 km TimurLaut YAHUKIMO-PAPUA"
30,"04-Mar-20 20:36:43 WIB",-3.58,99.44,5.2,"12 Km","173 km BaratDaya TUAPEJAT-SUMBAR"
31,"29-Feb-20 16:28:26 WIB",3.15,128.11,5.5,"141 Km","124 km BaratLaut DARUBA-MALUT"
32,"28-Feb-20 02:13:04 WIB",3.73,125.98,5.7,"108 Km","55 km TimurLaut TAHUNA-KEP.SANGIHE-SULUT"
33,"26-Feb-20 14:33:12 WIB",-7.5,131.11,6.7,"28 Km","56 km BaratLaut MALUKUTENGGARABRT"
